Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S00227,21,39,32,62,1.6,1
S00228,22,45,55,69,3.1,1
S00229,17,33,37,45,3.2,0
S00230,21,71,79,54,5.4,1
S00231,22,100,85,83,7.7,1
S00232,20,57,63,81,5.3,1
S00233,20,28,25,35,1.5,0
S00234,20,91,70,100,9.6,1
S00235,20,100,87,100,9.5,1
S00236,20,95,100,77,8.1,1
S00237,22,100,97,91,9.9,1
S00238,22,61,70,80,5.9,1
S00239,19,100,100,100,9.7,1
S00240,24,20,62,34,1.7,0
S00241,18,61,76,56,4.3,1
S00242,23,59,39,50,3.0,1
S00243,20,32,26,31,2.8,0
S00244,17,25,74,55,2.3,1
S00245,23,97,100,70,6.6,1
S00246,22,82,90,53,8.0,1
S00247,17,88,59,73,6.2,1
S00248,17,42,57,37,2.3,1
S00249,17,89,89,100,8.3,1
S00250,19,84,77,70,6.7,1
S00251,22,50,72,48,4.5,1
S00252,17,83,85,86,7.1,1
S00253,20,47,39,45,3.3,1
S00254,21,42,55,49,4.1,1
S00255,17,100,100,100,9.3,1
S00256,19,51,61,43,3.6,1
S00257,23,65,70,49,5.2,1
S00258,22,82,100,100,9.0,1
S00259,24,100,79,89,7.4,1
S00260,19,48,42,38,1.6,1
S00261,17,55,5,46,2.3,0
S00262,22,30,31,44,1.1,0
S00263,21,58,87,89,6.7,1
S00264,17,88,61,56,5.0,1
S00265,19,42,39,50,2.2,1
S00266,18,93,88,91,9.6,1
S00267,20,76,84,68,5.8,1
S00268,24,65,59,54,3.2,1
S00269,23,69,79,68,5.5,1
S00270,19,97,61,89,7.1,1
S00271,22,52,39,48,1.7,1
S00272,24,40,51,36,3.5,1
S00273,24,83,87,72,8.3,1
S00274,24,77,59,61,5.1,1
S00275,17,40,68,93,5.9,1
S00276,20,62,75,54,4.9,1
S00277,17,19,16,37,1.4,0
S00278,22,39,68,41,2.5,1
S00279,17,61,71,58,5.0,1
S00280,18,44,49,52,2.9,1
S00281,20,30,49,57,1.4,1
S00282,20,81,75,96,8.6,1
S00283,22,100,94,89,9.8,1
S00284,23,100,87,100,8.1,1
S00285,18,81,100,92,8.7,1
S00286,19,70,51,45,3.2,1
S00287,17,97,100,100,9.6,1
S00288,21,49,42,44,2.8,1
S00289,17,100,100,100,9.6,1
S00290,24,97,100,90,10.0,1
S00291,17,96,95,99,7.4,1
S00292,19,100,100,100,9.8,1
S00293,17,68,82,88,6.1,1
S00294,18,36,60,76,3.3,1
S00295,18,53,71,51,4.9,1
S00296,20,56,89,89,6.3,1
S00297,22,39,54,25,1.7,0
S00298,23,63,76,64,6.6,1
S00299,21,100,100,89,9.8,1
S00300,24,63,44,55,2.7,1
S00301,17,100,78,87,8.1,1
S00302,17,98,94,92,9.2,1
S00303,19,100,98,98,9.5,1
S00304,22,100,80,100,9.6,1
S00305,18,77,81,78,5.7,1
S00306,21,99,68,100,9.8,1
S00307,20,70,100,100,7.8,1
S00308,18,50,65,47,2.5,1
S00309,24,77,65,61,5.3,1
S00310,22,77,84,90,7.5,1
S00311,24,54,56,39,3.2,1
S00312,23,75,72,69,6.8,1
S00313,20,79,83,91,7.0,1
S00314,23,15,45,46,2.5,0
S00315,19,71,73,58,6.1,1
S00316,24,100,89,67,7.9,1
S00317,19,61,53,69,5.5,1
S00318,17,34,37,51,1.1,1
S00319,23,25,38,51,1.1,0
S00320,22,63,61,61,4.2,1
S00321,24,97,95,100,9.3,1
S00322,21,39,65,50,3.1,1
S00323,20,95,74,75,6.7,1
S00324,18,60,53,20,3.0,1
S00325,22,49,73,52,3.9,1
S00326,22,100,92,100,8.6,1
S00327,19,92,88,100,7.6,1
S00328,23,48,41,33,1.9,1
S00329,24,44,80,70,4.9,1
S00330,24,47,35,52,1.3,1
S00331,17,61,83,67,5.3,1
S00332,17,77,79,52,7.0,1
S00333,20,73,33,48,2.1,1
S00334,19,57,63,64,3.6,1
S00335,22,57,59,51,4.6,1
S00336,24,73,100,92,9.3,1
S00337,21,100,69,85,9.9,1
S00338,19,20,39,9,1.4,0
S00339,20,75,81,97,7.8,1
S00340,20,55,47,60,4.3,1
S00341,19,78,55,81,4.5,1
S00342,20,97,80,95,7.8,1
S00343,19,98,97,91,9.3,1
S00344,18,100,84,96,9.6,1
S00345,19,67,78,80,6.2,1
S00346,23,60,76,71,4.2,1
S00347,19,91,92,91,8.1,1
S00348,20,63,62,66,3.3,1
S00349,24,85,87,69,6.1,1
S00350,23,65,74,47,4.2,1
S00351,20,76,100,78,6.9,1
S00352,17,60,46,55,3.2,1
S00353,17,45,40,34,2.7,0
S00354,24,86,100,79,9.3,1
S00355,24,35,51,49,1.9,1
S00356,23,71,79,64,5.6,1
S00357,18,60,73,49,3.0,1
S00358,24,34,39,35,1.4,0
S00359,17,21,43,57,1.3,1
S00360,19,46,36,63,2.6,1
S00361,20,97,100,77,8.8,1
S00362,17,55,50,48,3.5,1
S00363,17,100,96,100,9.6,1
S00364,18,87,70,81,6.2,1
S00365,23,57,57,64,4.9,1
S00366,23,67,66,60,6.2,1
S00367,22,58,64,62,5.7,1
S00368,18,96,70,78,7.8,1
S00369,19,70,45,58,3.5,1
S00370,23,55,83,80,4.2,1
S00371,20,94,100,85,9.0,1
S00372,24,100,100,84,9.5,1
S00373,18,100,100,92,9.0,1
S00374,24,69,86,76,4.8,1
S00375,17,75,67,69,8.0,1
S00376,20,76,53,85,5.3,1
S00377,20,58,60,66,5.5,1
S00378,17,34,43,41,2.8,0
S00379,18,71,72,55,6.3,1
S00380,17,40,43,57,2.7,1
S00381,24,54,61,56,4.0,1
S00382,22,77,94,93,8.7,1
S00383,20,60,41,39,2.9,1
S00384,21,51,14,37,1.6,0
S00385,21,14,28,35,1.6,0
S00386,24,100,93,95,9.5,1
S00387,19,60,67,61,5.6,1
S00388,23,73,50,44,4.7,1
S00389,17,91,84,100,8.3,1
S00390,17,93,78,73,8.5,1
S00391,19,55,56,60,4.0,1
S00392,19,97,69,59,7.2,1
S00393,24,73,77,61,7.9,1
S00394,24,87,64,79,6.9,1
S00395,19,57,44,49,2.4,1
S00396,20,100,84,100,8.9,1
S00397,24,100,83,76,5.9,1
S00398,22,47,59,53,3.5,1
S00399,24,75,63,52,4.8,1
S00400,17,34,28,57,1.3,0
S00401,24,57,49,57,2.2,1
S00402,20,88,96,70,7.9,1
S00403,19,28,37,37,1.0,0
S00404,17,78,82,65,4.7,1
S00405,24,65,76,66,5.7,1
S00406,20,20,50,50,1.5,1
S00407,22,97,100,100,9.8,1
S00408,24,56,59,49,3.0,1
S00409,20,71,46,53,3.7,1
S00410,22,56,50,74,3.7,1
S00411,19,66,55,63,3.1,1
S00412,24,17,40,38,1.0,0
S00413,22,80,91,64,7.6,1
S00414,17,99,100,100,9.7,1
S00415,19,48,33,59,3.0,1
S00416,17,82,69,46,7.0,1
S00417,21,95,89,87,7.7,1
S00418,18,88,84,85,8.6,1
S00419,24,65,100,61,4.8,1
S00420,22,54,62,45,3.7,1
S00421,18,45,56,56,3.9,1
S00422,18,83,77,99,7.4,1
S00423,22,90,85,83,8.4,1
S00424,19,44,48,60,2.6,1
S00425,24,60,62,50,4.3,1
S00426,21,99,91,100,9.1,1
S00427,17,86,87,88,8.3,1
S00428,20,100,100,100,9.9,1
S00429,17,73,100,85,7.8,1
S00430,20,52,65,69,4.5,1
S00431,17,100,59,43,6.3,1
S00432,22,68,86,61,6.9,1
S00433,21,22,59,47,1.7,1
S00434,24,81,89,47,5.9,1
S00435,20,59,92,75,7.4,1
S00436,24,42,64,47,2.5,1
S00437,24,100,89,76,8.0,1
S00438,24,57,83,66,6.3,1
S00439,23,78,92,100,9.6,1
S00440,19,18,42,52,1.4,0
S00441,17,63,69,42,3.4,1
S00442,24,90,69,68,6.4,1
S00443,17,48,45,47,3.7,1
S00444,24,92,85,53,7.4,1
S00445,20,100,84,86,7.8,1
S00446,19,62,50,55,1.9,1
S00447,19,67,65,81,5.6,1
S00448,22,42,91,59,5.6,1
S00449,23,50,45,45,4.3,1
S00450,22,95,100,96,9.4,1
S00451,22,89,82,99,8.4,1
S00452,22,81,61,83,7.3,1
S00453,22,98,86,85,7.4,1
S00454,22,82,64,80,5.2,1
S00455,21,97,84,86,9.3,1
S00456,19,97,63,78,7.3,1
S00457,22,90,85,100,7.6,1
S00458,24,96,100,89,8.8,1
S00459,19,64,61,39,3.5,1
S00460,19,92,91,80,8.3,1
S00461,18,72,55,38,2.8,1
S00462,21,41,58,63,4.1,1
S00463,22,51,41,47,4.0,1
S00464,17,100,84,100,9.8,1
S00465,20,100,91,82,8.7,1
S00466,23,99,81,56,7.3,1
S00467,24,85,94,86,7.5,1
S00468,17,57,83,74,6.1,1
S00469,21,100,100,100,9.5,1
S00470,20,78,66,60,5.5,1
S00471,21,37,44,51,4.4,1
S00472,24,45,52,52,2.5,1
S00473,19,71,95,100,8.1,1
S00474,20,78,56,83,7.6,1
S00475,19,50,52,67,4.5,1
S00476,24,44,29,35,1.2,0
S00477,17,95,94,72,8.6,1
S00478,24,18,27,49,1.1,0
S00479,17,94,82,92,7.3,1
S00480,20,85,98,100,9.7,1
S00481,20,68,63,62,4.9,1
S00482,22,40,43,59,3.1,1
S00483,21,79,75,92,7.3,1
S00484,22,98,78,100,8.4,1
S00485,21,78,77,83,5.9,1
S00486,22,100,100,99,9.7,1
S00487,19,36,30,25,1.5,0
S00488,20,73,87,70,5.5,1
S00489,17,80,80,86,7.5,1
S00490,21,98,100,100,8.8,1
S00491,24,51,40,64,2.6,1
S00492,21,89,65,86,8.2,1
S00493,17,51,78,97,6.0,1
S00494,22,66,65,41,4.6,1
S00495,21,47,45,50,2.2,1
S00496,23,87,86,82,8.8,1
S00497,19,29,46,24,2.4,0
S00498,20,73,50,54,3.8,1
S00499,17,60,51,38,3.6,1
S00500,20,93,100,90,8.8,1
S00501,23,68,83,80,7.1,1
S00502,21,81,97,100,8.2,1
S00503,21,67,50,35,3.3,1
S00504,24,79,73,87,6.6,1
S00505,23,67,60,74,6.1,1
S00506,17,99,87,100,8.5,1
S00507,24,89,57,89,9.2,1
S00508,19,52,29,22,1.1,0
S00509,24,98,80,65,7.1,1
S00510,18,31,46,25,1.5,0
S00511,17,65,69,77,5.9,1
S00512,18,22,59,73,3.6,1
S00513,23,38,30,50,3.8,0
S00514,22,43,59,67,4.2,1
S00515,18,79,57,58,6.6,1
S00516,19,53,44,60,4.0,1
S00517,24,70,83,91,7.6,1
S00518,22,58,78,45,4.6,1
S00519,24,44,44,39,1.6,1
S00520,18,96,89,95,8.1,1
S00521,24,31,55,20,3.6,0
S00522,23,63,56,80,4.9,1
S00523,22,66,75,85,7.2,1
S00524,23,68,63,67,4.0,1
S00525,18,46,23,36,1.5,0
S00526,23,49,68,40,4.4,1
S00527,19,92,95,100,9.5,1
S00528,18,74,89,77,6.8,1
S00529,18,54,92,79,7.0,1
S00530,18,83,58,90,6.7,1
S00531,17,44,42,59,2.8,1
S00532,24,75,54,87,4.8,1
S00533,17,74,65,86,7.8,1
S00534,17,33,30,35,1.9,0
S00535,19,35,84,52,3.5,1
S00536,22,41,62,59,3.5,1
S00537,24,50,88,76,4.9,1
S00538,23,100,100,81,9.8,1
S00539,21,29,31,41,1.6,0
S00540,18,72,66,89,5.7,1
S00541,23,41,55,45,2.6,1
S00542,18,87,100,100,9.7,1
S00543,19,39,36,50,2.0,1
S00544,18,69,44,74,4.6,1
S00545,17,71,100,73,7.6,1
S00546,24,93,81,71,7.3,1
S00547,21,53,60,64,4.8,1
S00548,20,52,60,40,4.1,1
S00549,18,68,60,59,4.6,1
S00550,23,44,55,57,3.4,1
S00551,17,48,64,71,2.8,1
S00552,20,64,66,72,5.3,1
S00553,21,54,40,61,3.4,1
S00554,20,25,53,69,3.6,1
S00555,17,58,74,67,6.9,1
S00556,24,100,100,96,9.7,1
S00557,24,89,90,100,6.4,1
S00558,22,28,42,41,1.7,0
S00559,24,36,25,55,1.7,0
S00560,22,100,85,100,9.6,1
S00561,20,63,56,38,3.7,1
S00562,19,15,46,46,1.8,0
S00563,23,66,72,77,6.4,1
S00564,23,74,72,80,6.6,1
S00565,20,88,72,69,6.8,1
S00566,18,82,53,40,3.4,1
S00567,18,31,8,32,1.1,0
S00568,24,86,88,97,9.7,1
S00569,23,56,45,67,3.3,1
S00570,23,98,96,100,7.1,1
S00571,22,85,74,99,7.4,1
S00572,19,66,79,86,6.5,1
S00573,17,67,59,45,3.8,1
S00574,18,60,69,49,3.4,1
S00575,23,64,91,77,6.4,1
S00576,22,100,93,84,8.8,1
S00577,21,100,94,100,9.5,1
S00578,22,55,35,53,2.0,1
S00579,18,43,43,53,2.4,1
S00580,18,97,94,100,9.5,1
S00581,22,100,92,72,7.6,1
S00582,17,82,100,100,8.9,1
S00583,20,53,56,41,2.8,1
S00584,18,59,90,63,6.3,1
S00585,22,96,100,87,7.3,1
S00586,23,79,83,94,7.1,1
S00587,22,78,76,69,4.7,1
S00588,19,40,32,38,1.1,0
S00589,20,60,89,77,6.2,1
S00590,21,68,65,55,3.3,1
S00591,17,84,78,52,5.1,1
S00592,24,100,100,82,9.6,1
S00593,21,53,54,61,4.6,1
S00594,20,90,76,91,8.6,1
S00595,20,48,48,49,2.7,1
S00596,20,73,100,88,7.1,1
S00597,21,100,98,96,9.8,1
S00598,23,42,52,50,1.9,1
S00599,20,1,46,36,1.1,0
S00600,22,68,61,86,4.9,1
S00601,21,35,57,44,1.8,1
S00602,24,86,51,100,7.7,1
S00603,20,94,82,99,9.2,1
S00604,22,74,54,62,4.9,1
S00605,23,65,43,42,3.3,1
S00606,19,68,69,47,4.9,1
S00607,23,81,88,71,7.5,1
S00608,24,33,41,27,1.1,0
S00609,20,76,82,79,6.3,1
S00610,24,67,65,69,6.5,1
S00611,21,86,64,79,6.7,1
S00612,18,56,57,68,3.2,1
S00613,20,100,76,81,7.4,1
S00614,18,54,23,68,1.8,1
S00615,22,39,61,35,2.8,1
S00616,19,100,100,90,8.9,1
S00617,17,74,100,77,7.6,1
S00618,24,42,38,49,1.1,1
S00619,23,44,60,26,3.2,1
S00620,19,36,66,33,2.9,1
S00621,20,56,46,53,3.4,1
S00622,18,19,65,71,3.2,1
S00623,23,17,43,44,1.6,0
S00624,18,64,77,49,5.1,1
S00625,21,87,87,69,7.6,1
S00626,18,73,92,96,6.5,1
S00627,21,63,84,72,7.1,1
S00628,22,29,23,31,1.7,0
S00629,23,100,100,100,9.6,1
S00630,23,100,80,100,8.5,1
S00631,17,90,100,100,8.2,1
S00632,20,100,90,77,8.4,1
S00633,21,100,100,77,9.4,1
S00634,17,63,86,73,5.9,1
S00635,18,44,54,54,2.8,1
S00636,18,61,84,81,6.6,1
S00637,17,85,91,100,7.7,1
S00638,23,99,61,62,7.6,1
S00639,18,79,72,80,5.7,1
S00640,24,55,27,28,1.6,0
S00641,22,56,62,70,4.3,1
S00642,22,100,84,89,9.3,1
S00643,24,73,61,64,6.3,1
S00644,17,89,91,63,5.8,1
S00645,24,52,66,36,3.4,1
S00646,21,68,60,61,4.3,1
S00647,21,100,98,84,9.1,1
S00648,17,79,78,88,7.0,1
S00649,24,92,96,94,8.1,1
S00650,21,81,58,86,5.1,1
S00651,23,77,90,81,6.7,1
S00652,24,35,49,59,3.2,1
S00653,23,100,78,98,7.3,1
S00654,21,58,64,56,4.8,1
S00655,22,67,58,47,5.0,1
S00656,21,93,83,80,6.8,1
S00657,23,93,92,79,9.4,1
S00658,19,26,46,71,1.6,1
S00659,20,95,100,100,8.4,1
S00660,18,32,46,81,3.6,1
S00661,24,62,64,66,5.0,1
S00662,19,38,43,45,1.2,1
S00663,21,51,51,50,3.7,1
S00664,22,50,75,79,5.5,1
S00665,17,56,46,26,1.5,1
S00666,21,69,81,37,5.4,1
S00667,22,100,90,86,9.3,1
S00668,20,37,31,26,1.9,0
S00669,21,78,84,100,7.9,1
S00670,23,66,52,85,4.7,1
S00671,17,78,87,61,6.9,1
S00672,22,37,39,69,3.3,1
S00673,22,62,74,58,2.4,1
S00674,22,37,62,28,2.4,1
S00675,20,16,40,37,1.6,0
S00676,21,63,59,42,2.7,1
S00677,20,75,61,88,7.0,1
S00678,24,89,100,78,8.9,1
S00679,18,70,83,87,8.3,1
S00680,18,100,81,72,7.2,1
S00681,24,26,21,50,2.0,0
S00682,21,55,61,53,3.6,1
S00683,23,66,43,50,3.8,1
S00684,20,56,53,50,3.2,1
S00685,17,69,63,94,5.6,1
S00686,22,51,59,66,5.8,1
S00687,22,49,50,47,4.2,1
S00688,21,61,62,66,4.2,1
S00689,23,84,76,88,8.5,1
S00690,18,92,80,70,8.1,1
S00691,18,64,64,83,3.8,1
S00692,22,100,100,90,9.2,1
S00693,21,87,100,93,9.6,1
S00694,20,83,46,59,3.9,1
S00695,18,68,55,80,4.2,1
S00696,20,70,70,49,5.6,1
S00697,23,100,95,100,9.5,1
S00698,18,100,100,100,8.9,1
S00699,18,23,45,45,1.9,0
S00700,19,58,73,47,4.5,1
S00701,18,44,69,65,6.0,1
S00702,24,71,85,71,5.5,1
S00703,17,51,46,65,2.7,1
S00704,24,94,82,87,8.7,1
S00705,21,74,100,90,7.1,1
S00706,21,68,70,72,8.5,1
S00707,20,99,84,74,8.7,1
S00708,24,100,78,78,7.7,1
S00709,24,58,96,82,5.0,1
S00710,24,82,98,76,6.5,1
S00711,23,25,64,50,2.4,1
S00712,18,87,77,83,7.1,1
S00713,17,41,77,62,2.6,1
S00714,20,73,86,73,7.2,1
S00715,24,41,63,60,3.1,1
S00716,24,37,46,35,2.1,0
S00717,19,50,46,71,2.5,1
S00718,20,17,32,27,1.0,0
S00719,24,80,82,72,7.5,1
S00720,20,85,92,90,7.6,1
S00721,18,57,74,70,5.6,1
S00722,19,67,46,51,2.5,1
S00723,20,29,60,45,1.8,1
S00724,17,27,1,25,1.2,0
S00725,17,33,53,67,2.5,1
S00726,21,100,100,100,9.0,1
S00727,19,57,66,69,3.2,1
S00728,19,47,59,53,4.2,1
S00729,21,53,45,48,1.9,1
S00730,20,51,62,53,3.0,1
S00731,19,74,89,83,5.7,1
S00732,17,73,73,89,6.5,1
S00733,17,42,55,55,3.2,1
S00734,24,41,59,22,1.5,1
S00735,18,54,36,83,4.5,1
S00736,19,72,43,58,3.1,1
S00737,20,34,68,44,3.0,1
S00738,21,100,100,100,9.6,1
S00739,21,76,83,57,6.5,1
S00740,20,77,68,85,6.0,1
S00741,23,73,53,45,4.7,1
S00742,22,57,58,62,4.9,1
S00743,18,83,91,74,5.9,1
S00744,21,51,75,94,7.3,1
S00745,19,75,84,82,7.3,1
S00746,18,34,38,55,2.5,1
S00747,19,54,79,68,5.5,1
S00748,23,60,57,63,4.7,1
S00749,17,100,93,93,8.8,1
S00750,18,87,58,75,6.7,1
S00751,24,74,52,50,5.8,1
S00752,21,33,43,35,2.0,0
S00753,18,81,61,78,6.5,1
S00754,18,43,69,42,2.1,1
S00755,18,68,33,56,4.0,1
S00756,22,53,36,42,2.3,1
S00757,18,83,82,70,7.2,1
S00758,19,37,45,44,2.9,1
S00759,17,53,49,58,4.5,1
S00760,23,91,85,94,9.1,1
S00761,20,44,37,54,2.8,1
S00762,18,73,67,67,5.6,1
S00763,21,72,87,51,4.8,1
S00764,18,34,38,22,1.2,0
S00765,21,90,100,100,8.1,1
S00766,19,40,46,28,1.6,0
S00767,21,61,81,61,5.3,1
S00768,24,62,39,78,6.0,1
S00769,20,58,75,81,6.7,1
S00770,17,74,98,87,7.2,1
S00771,21,57,46,48,3.3,1
S00772,21,25,57,41,1.1,1
S00773,17,82,100,83,7.5,1
